!version: $Revision: 1.48 $
!date: $Date: 2006/07/27 13:53:31 $
!Mapping of GO function_ontology "enzymes" to Enzyme Commission Numbers.
!original mapping by Michael Ashburner, Cambridge.
!This version parsed from function.ontology on 2006/07/14 16:07:33
!by Daniel Barrell, EBI, Hinxton
!
EC:1 > GO:oxidoreductase activity ; GO:0016491
EC:1.4.99.1 > GO:D-amino-acid dehydrogenase activity ; GO:0008718
EC:1.4.99.2 > GO:taurine dehydrogenase activity ; GO:0050323
EC:1.4.99.3 > GO:amine dehydrogenase activity ; GO:0030058
EC:1.4.99.4 > GO:aralkylamine dehydrogenase activity ; GO:0030059
EC:1.4.99.5 > GO:glycine dehydrogenase (cyanide-forming) activity ; GO:0050622
EC:1.5 > GO:oxidoreductase activity, acting on the CH-NH group of donors ; GO:0016645
EC:1.5.1 > GO:oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor ; GO:0016646
EC:1.5.1.1 > GO:pyrroline-2-carboxylate reductase activity ; GO:0050241
EC:1.5.1.10 > GO:saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity ; GO:0004755
EC:1.5.1.11 > GO:D-octopine dehydrogenase activity ; GO:0047830
EC:1.5.1.12 > GO:1-pyrroline-5-carboxylate dehydrogenase activity ; GO:0003842
EC:1.5.1.15 > GO:methylenetetrahydrofolate dehydrogenase (NAD+) activity ; GO:0004487
EC:1.5.1.16 > GO:D-lysopine dehydrogenase activity ; GO:0047827
EC:1.5.1.17 > GO:alanopine dehydrogenase activity ; GO:0047636
EC:1.5.1.18 > GO:ephedrine dehydrogenase activity ; GO:0047877
EC:1.5.1.19 > GO:D-nopaline dehydrogenase activity ; GO:0047829
EC:1.5.1.2 > GO:pyrroline-5-carboxylate reductase activity ; GO:0004735
EC:1.5.1.20 > GO:methylenetetrahydrofolate reductase (NADPH) activity ; GO:0004489
EC:1.5.1.21 > GO:delta1-piperideine-2-carboxylate reductase activity ; GO:0047125
EC:1.5.1.22 > GO:strombine dehydrogenase activity ; GO:0050305
EC:1.5.1.23 > GO:tauropine dehydrogenase activity ; GO:0050325
EC:1.5.1.24 > GO:N5-(carboxyethyl)ornithine synthase activity ; GO:0047126
EC:1.5.1.25 > GO:thiomorpholine-carboxylate dehydrogenase activity ; GO:0047127
EC:1.5.1.26 > GO:beta-alanopine dehydrogenase activity ; GO:0047697
EC:1.5.1.27 > GO:1,2-dehydroreticulinium reductase (NADPH) activity ; GO:0047128
EC:1.5.1.28 > GO:opine dehydrogenase activity ; GO:0047129
EC:1.5.1.29 > GO:FMN reductase activity ; GO:0008752
EC:1.5.1.3 > GO:dihydrofolate reductase activity ; GO:0004146
EC:1.5.1.30 > GO:flavin reductase activity ; GO:0042602
EC:1.5.1.31 > GO:berberine reductase activity ; GO:0050623
EC:1.5.1.32 > GO:vomilenine reductase activity ; GO:0050624
EC:1.5.1.33 > GO:pteridine reductase activity ; GO:0047040
EC:1.5.1.34 > GO:6,7-dihydropteridine reductase activity ; GO:0004155
EC:1.5.1.5 > GO:methylenetetrahydrofolate dehydrogenase (NADP+) activity ; GO:0004488
EC:1.5.1.6 > GO:formyltetrahydrofolate dehydrogenase activity ; GO:0016155
EC:1.5.1.7 > GO:saccharopine dehydrogenase (NAD+, L-lysine-forming) activity ; GO:0004754
EC:1.5.1.8 > GO:saccharopine dehydrogenase (NADP+, L-lysine-forming) activity ; GO:0047130
EC:1.5.1.9 > GO:saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity ; GO:0047131
EC:1.5.3 > GO:oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor ; GO:0016647
EC:1.5.3.1 > GO:sarcosine oxidase activity ; GO:0008115
EC:1.5.3.10 > GO:dimethylglycine oxidase activity ; GO:0047866
EC:1.5.3.11 > GO:polyamine oxidase activity ; GO:0046592
EC:1.5.3.12 > GO:dihydrobenzophenanthridine oxidase activity ; GO:0047132
EC:1.5.3.2 > GO:N-methyl-L-amino-acid oxidase activity ; GO:0050131
EC:1.5.3.4 > GO:N6-methyl-lysine oxidase activity ; GO:0050134
EC:1.5.3.5 > GO:(S)-6-hydroxynicotine oxidase activity ; GO:0018531
EC:1.5.3.6 > GO:(R)-6-hydroxynicotine oxidase activity ; GO:0018530
EC:1.5.3.7 > GO:L-pipecolate oxidase activity ; GO:0050031
EC:1.5.4 > GO:oxidoreductase activity, acting on the CH-NH group of donors, disulfide as acceptor ; GO:0016648
EC:1.5.4.1 > GO:pyrimidodiazepine synthase activity ; GO:0004734
EC:1.5.5 > GO:oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor ; GO:0016649
EC:1.5.5.1 > GO:electron-transferring-flavoprotein dehydrogenase activity ; GO:0004174
EC:1.5.8 > GO:oxidoreductase activity, acting on the CH-NH group of donors, with a flavin as acceptor ; GO:0046997
EC:1.5.8.1 > GO:dimethylamine dehydrogenase activity ; GO:0047133
EC:1.5.8.2 > GO:trimethylamine dehydrogenase activity ; GO:0050470
EC:1.5.99.1 > GO:sarcosine dehydrogenase activity ; GO:0008480
EC:1.5.99.11 > GO:coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase activity ; GO:0018537
EC:1.5.99.12 > GO:cytokinin dehydrogenase activity ; GO:0019139
EC:1.5.99.2 > GO:dimethylglycine dehydrogenase activity ; GO:0047865
EC:1.5.99.3 > GO:L-pipecolate dehydrogenase activity ; GO:0050030
EC:1.5.99.4 > GO:nicotine dehydrogenase activity ; GO:0018535
EC:1.5.99.5 > GO:methylglutamate dehydrogenase activity ; GO:0050099
EC:1.5.99.6 > GO:spermidine dehydrogenase activity ; GO:0050289
EC:1.5.99.8 > GO:proline dehydrogenase activity ; GO:0004657
EC:1.5.99.9 > GO:methylenetetrahydromethanopterin dehydrogenase activity ; GO:0030268
EC:1.6 > GO:oxidoreductase activity, acting on NADH or NADPH ; GO:0016651
EC:1.6.1 > GO:oxidoreductase activity, acting on NADH or NADPH, NAD or NADP as acceptor ; GO:0016652
EC:1.6.1.1 > GO:NAD(P)+ transhydrogenase (B-specific) activity ; GO:0003957
EC:1.6.1.2 > GO:NAD(P)+ transhydrogenase (AB-specific) activity ; GO:0008750
EC:1.6.2 > GO:oxidoreductase activity, acting on NADH or NADPH, heme protein as acceptor ; GO:0016653
EC:1.6.2.2 > GO:cytochrome-b5 reductase activity ; GO:0004128
EC:1.6.2.4 > GO:NADPH-hemoprotein reductase activity ; GO:0003958
EC:1.6.2.5 > GO:NADPH-cytochrome-c2 reductase activity ; GO:0015047
EC:1.6.2.6 > GO:leghemoglobin reductase activity ; GO:0015043
EC:1.6.3 > GO:oxidoreductase activity, acting on NADH or NADPH, with oxygen as acceptor ; GO:0050664
EC:1.6.3.1 > GO:NAD(P)H oxidase activity ; GO:0016174
EC:1.6.4 > GO:oxidoreductase activity, acting on NADH or NADPH, disulfide as acceptor ; GO:0016654
EC:1.6.5 > GO:oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor ; GO:0016655
EC:1.6.5.2 > GO:NAD(P)H dehydrogenase (quinone) activity ; GO:0003955
EC:1.6.5.3 > GO:NADH dehydrogenase (ubiquinone) activity ; GO:0008137
EC:1.6.5.4 > GO:monodehydroascorbate reductase (NADH) activity ; GO:0016656
EC:1.6.5.5 > GO:NADPH:quinone reductase activity ; GO:0003960
EC:1.6.5.6 > GO:p-benzoquinone reductase (NADPH) activity ; GO:0018541
EC:1.6.5.7 > GO:2-hydroxy-1,4-benzoquinone reductase activity ; GO:0050625
EC:1.6.6 > GO:oxidoreductase activity, acting on NADH or NADPH, nitrogenous group as acceptor ; GO:0016657
EC:1.6.6.9 > GO:trimethylamine-N-oxide reductase activity ; GO:0009033
EC:1.6.99.1 > GO:NADPH dehydrogenase activity ; GO:0003959
EC:1.6.99.3 > GO:NADH dehydrogenase activity ; GO:0003954
EC:1.6.99.5 > GO:NADH dehydrogenase (quinone) activity ; GO:0050136
EC:1.6.99.6 > GO:NADPH dehydrogenase (quinone) activity ; GO:0008753
EC:1.7 > GO:oxidoreductase activity, acting on other nitrogenous compounds as donors ; GO:0016661
EC:1.7.1 > GO:oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor ; GO:0046857
EC:1.7.1.1 > GO:nitrate reductase (NADH) activity ; GO:0009703
EC:1.7.1.10 > GO:hydroxylamine reductase (NADH) activity ; GO:0050460
EC:1.7.1.11 > GO:4-(dimethylamino)phenylazoxybenzene reductase activity ; GO:0047136
EC:1.7.1.12 > GO:N-hydroxy-2-acetamidofluorene reductase activity ; GO:0047137
EC:1.7.1.2 > GO:nitrate reductase [NAD(P)H] activity ; GO:0050463
EC:1.7.1.3 > GO:nitrate reductase (NADPH) activity ; GO:0050464
EC:1.7.1.4 > GO:nitrite reductase [NAD(P)H] activity ; GO:0008942
EC:1.7.1.5 > GO:hyponitrite reductase activity ; GO:0047999
EC:1.7.1.6 > GO:azobenzene reductase activity ; GO:0050446
EC:1.7.1.7 > GO:GMP reductase activity ; GO:0003920
EC:1.7.1.9 > GO:nitroquinoline-N-oxide reductase activity ; GO:0050465
EC:1.7.2 > GO:oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor ; GO:0016662
EC:1.7.2.1 > GO:nitrite reductase (NO-forming) activity ; GO:0050421
EC:1.7.2.2 > GO:nitrite reductase (cytochrome, ammonia-forming) activity ; GO:0042279
EC:1.7.2.3 > GO:trimethylamine-N-oxide reductase (cytochrome c) activity ; GO:0050626
EC:1.7.3 > GO:oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor ; GO:0016663
EC:1.7.3.1 > GO:nitroethane oxidase activity ; GO:0050141
EC:1.7.3.2 > GO:acetylindoxyl oxidase activity ; GO:0047608
EC:1.7.3.3 > GO:urate oxidase activity ; GO:0004846
EC:1.7.3.4 > GO:hydroxylamine oxidase activity ; GO:0047991
EC:1.7.3.5 > GO:3-aci-nitropropanoate oxidase activity ; GO:0047557
EC:1.7.7 > GO:oxidoreductase activity, acting on other nitrogenous compounds as donors, iron-sulfur protein as acceptor ; GO:0016664
EC:1.7.7.1 > GO:ferredoxin-nitrite reductase activity ; GO:0048307
EC:1.7.7.2 > GO:ferredoxin-nitrate reductase activity ; GO:0047889
EC:1.7.99.1 > GO:hydroxylamine reductase activity ; GO:0050418
EC:1.7.99.4 > GO:nitrate reductase activity ; GO:0008940
EC:1.7.99.6 > GO:nitrous-oxide reductase activity ; GO:0050304
EC:1.7.99.7 > GO:nitric oxide reductase activity ; GO:0016966
EC:1.8 > GO:oxidoreductase activity, acting on sulfur group of donors ; GO:0016667
EC:1.8.1 > GO:oxidoreductase activity, acting on sulfur group of donors, NAD or NADP as acceptor ; GO:0016668
EC:1.8.1.10 > GO:CoA-glutathione reductase activity ; GO:0050452
EC:1.8.1.11 > GO:asparagusate reductase activity ; GO:0050445
EC:1.8.1.12 > GO:trypanothione-disulfide reductase activity ; GO:0015042
EC:1.8.1.13 > GO:bis-gamma-glutamylcystine reductase activity ; GO:0047135
EC:1.8.1.14 > GO:CoA-disulfide reductase activity ; GO:0050451
EC:1.8.1.15 > GO:mycothione reductase activity ; GO:0050627
EC:1.8.1.2 > GO:sulfite reductase (NADPH) activity ; GO:0004783
EC:1.8.1.3 > GO:hypotaurine dehydrogenase activity ; GO:0047822
EC:1.8.1.4 > GO:dihydrolipoyl dehydrogenase activity ; GO:0004148
EC:1.8.1.5 > GO:2-oxopropyl-CoM reductase (carboxylating) activity ; GO:0050628
EC:1.8.1.6 > GO:cystine reductase activity ; GO:0050456
EC:1.8.1.7 > GO:glutathione-disulfide reductase activity ; GO:0004362
EC:1.8.1.8 > GO:protein-disulfide reductase activity ; GO:0047134
EC:1.8.1.9 > GO:thioredoxin-disulfide reductase activity ; GO:0004791
EC:1.8.2 > GO:oxidoreductase activity, acting on sulfur group of donors, cytochrome as acceptor ; GO:0016669
EC:1.8.2.1 > GO:sulfite dehydrogenase activity ; GO:0050310
EC:1.8.2.2 > GO:thiosulfate dehydrogenase activity ; GO:0050338
EC:1.8.3 > GO:oxidoreductase activity, acting on sulfur group of donors, oxygen as acceptor ; GO:0016670
EC:1.8.3.1 > GO:sulfite oxidase activity ; GO:0008482
EC:1.8.3.2 > GO:thiol oxidase activity ; GO:0016972
EC:1.8.3.3 > GO:glutathione oxidase activity ; GO:0047950
EC:1.8.3.4 > GO:methanethiol oxidase activity ; GO:0018549
EC:1.8.3.5 > GO:prenylcysteine oxidase activity ; GO:0001735
EC:1.8.4 > GO:oxidoreductase activity, acting on sulfur group of donors, disulfide as acceptor ; GO:0016671
EC:1.8.4.1 > GO:glutathione-homocystine transhydrogenase activity ; GO:0047139
EC:1.8.4.2 > GO:protein-disulfide reductase (glutathione) activity ; GO:0019153
EC:1.8.4.3 > GO:glutathione-CoA-glutathione transhydrogenase activity ; GO:0047140
EC:1.8.4.4 > GO:glutathione-cystine transhydrogenase activity ; GO:0047141
EC:1.8.4.5 > GO:methionine-S-oxide reductase activity ; GO:0000317
EC:1.8.4.6 > GO:protein-methionine-S-oxide reductase activity ; GO:0008113
EC:1.8.4.7 > GO:enzyme-thiol transhydrogenase (glutathione-disulfide) activity ; GO:0047142
EC:1.8.4.8 > GO:phosphoadenylyl-sulfate reductase (thioredoxin) activity ; GO:0004604
EC:1.8.5 > GO:oxidoreductase activity, acting on sulfur group of donors, quinone or similar compound as acceptor ; GO:0016672
EC:1.8.5.1 > GO:glutathione dehydrogenase (ascorbate) activity ; GO:0045174
EC:1.8.7 > GO:oxidoreductase activity, acting on sulfur group of donors, iron-sulfur protein as acceptor ; GO:0016673
EC:1.8.7.1 > GO:sulfite reductase (ferredoxin) activity ; GO:0050311
EC:1.8.98.1 > GO:CoB--CoM heterodisulfide reductase activity ; GO:0051912
EC:1.8.99.1 > GO:sulfite reductase activity ; GO:0016002
EC:1.8.99.2 > GO:adenylyl-sulfate reductase activity ; GO:0009973
EC:1.8.99.3 > GO:hydrogensulfite reductase activity ; GO:0018551
EC:1.9 > GO:oxidoreductase activity, acting on heme group of donors ; GO:0016675
EC:1.9. > GO:oxidoreductase activity, acting on heme group of donors, oxygen as acceptor ; GO:0016676
EC:1.9.3.1 > GO:cytochrome-c oxidase activity ; GO:0004129
EC:1.9.6 > GO:oxidoreductase activity, acting on heme group of donors, nitrogenous group as acceptor ; GO:0016677
EC:1.9.6.1 > GO:nitrate reductase (cytochrome) activity ; GO:0050140
EC:1.9.99.1 > GO:iron-cytochrome-c reductase activity ; GO:0047726
EC:1.97.1.1 > GO:chlorate reductase activity ; GO:0047143
EC:1.97.1.10 > GO:thyroxine 5'-deiodinase activity ; GO:0004800
EC:1.97.1.2 > GO:pyrogallol hydroxytransferase activity ; GO:0018706
EC:1.97.1.4 > GO:[formate-C-acetyltransferase]-activating enzyme ; GO:0043365
EC:1.97.1.8 > GO:tetrachloroethene reductive dehalogenase activity ; GO:0050629
EC:2 > GO:transferase activity ; GO:0016740
EC:2.1 > GO:transferase activity, transferring one-carbon groups ; GO:0016741
EC:2.1.1 > GO:methyltransferase activity ; GO:0008168
EC:2.1.1.1 > GO:nicotinamide N-methyltransferase activity ; GO:0008112
EC:2.1.1.10 > GO:homocysteine S-methyltransferase activity ; GO:0008898
EC:2.1.1.100 > GO:protein-S-isoprenylcysteine O-methyltransferase activity ; GO:0004671
EC:2.1.1.101 > GO:macrocin O-methyltransferase activity ; GO:0030769
EC:2.1.1.102 > GO:demethylmacrocin O-methyltransferase activity ; GO:0030770
EC:2.1.1.103 > GO:phosphoethanolamine N-methyltransferase activity ; GO:0000234
EC:2.1.1.104 > GO:caffeoyl-CoA O-methyltransferase activity ; GO:0042409
EC:2.1.1.105 > GO:N-benzoyl-4-hydroxyanthranilate 4-O-methyltransferase activity ; GO:0030771
EC:2.1.1.106 > GO:tryptophan 2-C-methyltransferase activity ; GO:0030772
EC:2.1.1.107 > GO:uroporphyrin-III C-methyltransferase activity ; GO:0004851
EC:2.1.1.108 > GO:6-hydroxymellein O-methyltransferase activity ; GO:0030773
EC:2.1.1.109 > GO:demethylsterigmatocystin 6-O-methyltransferase activity ; GO:0047145
EC:2.1.1.11 > GO:magnesium protoporphyrin IX methyltransferase activity ; GO:0046406
EC:2.1.1.110 > GO:sterigmatocystin 7-O-methyltransferase activity ; GO:0047146
EC:2.1.1.111 > GO:anthranilate N-methyltransferase activity ; GO:0030774
EC:2.1.1.112 > GO:glucuronoxylan 4-O-methyltransferase activity ; GO:0030775
EC:2.1.1.113 > GO:site-specific DNA-methyltransferase (cytosine-N4-specific) activity ; GO:0015667
EC:2.1.1.114 > GO:hexaprenyldihydroxybenzoate methyltransferase activity ; GO:0004395
EC:2.1.1.115 > GO:(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase activity ; GO:0030776
EC:2.1.1.116 > GO:3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase activity ; GO:0030784
EC:2.1.1.117 > GO:(S)-scoulerine 9-O-methyltransferase activity ; GO:0030777
EC:2.1.1.118 > GO:columbamine O-methyltransferase activity ; GO:0030778
EC:2.1.1.119 > GO:10-hydroxydihydrosanguinarine 10-O-methyltransferase activity ; GO:0030779
EC:2.1.1.12 > GO:methionine S-methyltransferase activity ; GO:0030732
EC:2.1.1.120 > GO:12-hydroxydihydrochelirubine 12-O-methyltransferase activity ; GO:0030780
EC:2.1.1.121 > GO:6-O-methylnorlaudanosoline 5'-O-methyltransferase activity ; GO:0030781
EC:2.1.1.122 > GO:(S)-tetrahydroprotoberberine N-methyltransferase activity ; GO:0030782
EC:2.1.1.123 > GO:[cytochrome c]-methionine S-methyltransferase activity ; GO:0030783
EC:2.1.1.124 > GO:[cytochrome c]-arginine N-methyltransferase activity ; GO:0016275
EC:2.1.1.125 > GO:histone-arginine N-methyltransferase activity ; GO:0008469
EC:2.1.1.126 > GO:[myelin basic protein]-arginine N-methyltransferase activity ; GO:0016277
EC:2.1.1.127 > GO:[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity ; GO:0030785
EC:2.1.1.128 > GO:(RS)-norcoclaurine 6-O-methyltransferase activity ; GO:0030786
EC:2.1.1.129 > GO:inositol 4-methyltransferase activity ; GO:0030787
EC:2.1.1.13 > GO:methionine synthase activity ; GO:0008705
EC:2.1.1.130 > GO:precorrin-2 C20-methyltransferase activity ; GO:0030788
EC:2.1.1.131 > GO:precorrin-3B C17-methyltransferase activity ; GO:0030789
EC:2.1.1.132 > GO:precorrin-6Y C5,15-methyltransferase (decarboxylating) activity ; GO:0046025
EC:2.1.1.133 > GO:precorrin-4 C11-methyltransferase activity ; GO:0046026
EC:2.1.1.136 > GO:chlorophenol O-methyltransferase activity ; GO:0030790
EC:2.1.1.137 > GO:arsenite methyltransferase activity ; GO:0030791
EC:2.1.1.139 > GO:3'-demethylstaurosporine O-methyltransferase activity ; GO:0030793
EC:2.1.1.14 > GO:5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity ; GO:0003871
EC:2.1.1.140 > GO:(S)-coclaurine-N-methyltransferase activity ; GO:0030794
EC:2.1.1.141 > GO:jasmonate O-methyltransferase activity ; GO:0030795
EC:2.1.1.142 > GO:cycloartenol 24-C-methyltransferase activity ; GO:0030796
EC:2.1.1.143 > GO:24-methylenesterol C-methyltransferase activity ; GO:0030797
EC:2.1.1.144 > GO:trans-aconitate 2-methyltransferase activity ; GO:0030798
EC:2.1.1.145 > GO:trans-aconitate 3-methyltransferase activity ; GO:0046547
EC:2.1.1.146 > GO:(iso)eugenol O-methyltransferase activity ; GO:0050630
EC:2.1.1.147 > GO:corydaline synthase activity ; GO:0050631
EC:2.1.1.148 > GO:thymidylate synthase (FAD) activity ; GO:0050797
EC:2.1.1.15 > GO:fatty-acid O-methyltransferase activity ; GO:0030733
EC:2.1.1.16 > GO:methylene-fatty-acyl-phospholipid synthase activity ; GO:0004481
EC:2.1.1.17 > GO:phosphatidylethanolamine N-methyltransferase activity ; GO:0004608
EC:2.1.1.18 > GO:polysaccharide O-methyltransferase activity ; GO:0030734
EC:2.1.1.19 > GO:trimethylsulfonium-tetrahydrofolate N-methyltransferase activity ; GO:0047147
EC:2.1.1.2 > GO:guanidinoacetate N-methyltransferase activity ; GO:0030731
EC:2.1.1.20 > GO:glycine N-methyltransferase activity ; GO:0017174
EC:2.1.1.21 > GO:methylamine-glutamate N-methyltransferase activity ; GO:0047148
EC:2.1.1.22 > GO:carnosine N-methyltransferase activity ; GO:0030735
EC:2.1.1.25 > GO:phenol O-methyltransferase activity ; GO:0030736
EC:2.1.1.26 > GO:iodophenol O-methyltransferase activity ; GO:0030737
EC:2.1.1.27 > GO:tyramine N-methyltransferase activity ; GO:0030738
EC:2.1.1.28 > GO:phenylethanolamine N-methyltransferase activity ; GO:0004603
EC:2.1.1.29 > GO:tRNA (cytosine-5-)-methyltransferase activity ; GO:0016428
EC:2.1.1.3 > GO:thetin-homocysteine S-methyltransferase activity ; GO:0047149
EC:2.1.1.31 > GO:tRNA (guanine-N1-)-methyltransferase activity ; GO:0009019
EC:2.1.1.32 > GO:tRNA (guanine-N2-)-methyltransferase activity ; GO:0004809
EC:2.1.1.33 > GO:tRNA (guanine-N7-)-methyltransferase activity ; GO:0008176
EC:2.1.1.34 > GO:tRNA (guanosine-2'-O-)-methyltransferase activity ; GO:0009020
EC:2.1.1.35 > GO:tRNA (uracil-5-)-methyltransferase activity ; GO:0009021
EC:2.1.1.36 > GO:tRNA (adenine-N1-)-methyltransferase activity ; GO:0016429
EC:2.1.1.37 > GO:DNA (cytosine-5-)-methyltransferase activity ; GO:0003886
EC:2.1.1.38 > GO:O-demethylpuromycin O-methyltransferase activity ; GO:0030739
EC:2.1.1.39 > GO:inositol 3-methyltransferase activity ; GO:0030740
EC:2.1.1.4 > GO:acetylserotonin O-methyltransferase activity ; GO:0017096
EC:2.1.1.40 > GO:inositol 1-methyltransferase activity ; GO:0030741
EC:2.1.1.41 > GO:sterol 24-C-methyltransferase activity ; GO:0003838
EC:2.1.1.42 > GO:luteolin O-methyltransferase activity ; GO:0030744
EC:2.1.1.43 > GO:histone-lysine N-methyltransferase activity ; GO:0018024
EC:2.1.1.44 > GO:dimethylhistidine N-methyltransferase activity ; GO:0030745
EC:2.1.1.45 > GO:thymidylate synthase activity ; GO:0004799
EC:2.1.1.46 > GO:isoflavone 4'-O-methyltransferase activity ; GO:0030746
EC:2.1.1.47 > GO:indolepyruvate C-methyltransferase activity ; GO:0030747
EC:2.1.1.48 > GO:rRNA (adenine-N6-)-methyltransferase activity ; GO:0008988
EC:2.1.1.49 > GO:amine N-methyltransferase activity ; GO:0030748
EC:2.1.1.5 > GO:betaine-homocysteine S-methyltransferase activity ; GO:0047150
EC:2.1.1.50 > GO:loganate O-methyltransferase activity ; GO:0030749
EC:2.1.1.51 > GO:rRNA (guanine-N1-)-methyltransferase activity ; GO:0008989
EC:2.1.1.52 > GO:rRNA (guanine-N2-)-methyltransferase activity ; GO:0008990
EC:2.1.1.53 > GO:putrescine N-methyltransferase activity ; GO:0030750
EC:2.1.1.54 > GO:deoxycytidylate C-methyltransferase activity ; GO:0050003
EC:2.1.1.55 > GO:tRNA (adenine-N6-)-methyltransferase activity ; GO:0016430
EC:2.1.1.56 > GO:mRNA (guanine-N7-)-methyltransferase activity ; GO:0004482
EC:2.1.1.57 > GO:mRNA (nucleoside-2'-O-)-methyltransferase activity ; GO:0004483
EC:2.1.1.59 > GO:[cytochrome c]-lysine N-methyltransferase activity ; GO:0000277
EC:2.1.1.6 > GO:catechol O-methyltransferase activity ; GO:0016206
EC:2.1.1.60 > GO:calmodulin-lysine N-methyltransferase activity ; GO:0018025
EC:2.1.1.61 > GO:tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity ; GO:0004808
EC:2.1.1.62 > GO:mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity ; GO:0016422
EC:2.1.1.63 > GO:methylated-DNA-[protein]-cysteine S-methyltransferase activity ; GO:0003908
EC:2.1.1.64 > GO:3-demethylubiquinone-9 3-O-methyltransferase activity ; GO:0008689
EC:2.1.1.65 > GO:licodione 2'-O-methyltransferase activity ; GO:0030751
EC:2.1.1.66 > GO:rRNA (adenosine-2'-O-)-methyltransferase activity ; GO:0030743
EC:2.1.1.67 > GO:thiopurine S-methyltransferase activity ; GO:0008119
EC:2.1.1.68 > GO:caffeate O-methyltransferase activity ; GO:0047763
EC:2.1.1.69 > GO:5-hydroxyfuranocoumarin 5-O-methyltransferase activity ; GO:0030752
EC:2.1.1.7 > GO:nicotinate N-methyltransferase activity ; GO:0008938
EC:2.1.1.70 > GO:8-hydroxyfuranocoumarin 8-O-methyltransferase activity ; GO:0030753
EC:2.1.1.71 > GO:phosphatidyl-N-methylethanolamine N-methyltransferase activity ; GO:0000773
EC:2.1.1.72 > GO:site-specific DNA-methyltransferase (adenine-specific) activity ; GO:0009007
EC:2.1.1.74 > GO:methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity ; GO:0047151
EC:2.1.1.75 > GO:apigenin 4'-O-methyltransferase activity ; GO:0030754
EC:2.1.1.76 > GO:quercetin 3-O-methyltransferase activity ; GO:0030755
EC:2.1.1.77 > GO:protein-L-isoaspartate (D-aspartate) O-methyltransferase activity ; GO:0004719
EC:2.1.1.78 > GO:isoorientin 3'-O-methyltransferase activity ; GO:0030756
EC:2.1.1.79 > GO:cyclopropane-fatty-acyl-phospholipid synthase activity ; GO:0008825
EC:2.1.1.8 > GO:histamine N-methyltransferase activity ; GO:0046539
EC:2.1.1.80 > GO:protein-glutamate O-methyltransferase activity ; GO:0008983
EC:2.1.1.82 > GO:3-methylquercitin 7-O-methyltransferase activity ; GO:0030757
EC:2.1.1.83 > GO:3,7-dimethylquercitin 4'-O-methyltransferase activity ; GO:0030758
EC:2.1.1.84 > GO:methylquercetagetin 6-O-methyltransferase activity ; GO:0030759
EC:2.1.1.85 > GO:protein-histidine N-methyltransferase activity ; GO:0018064
EC:2.1.1.86 > GO:tetrahydromethanopterin S-methyltransferase activity ; GO:0030269
EC:2.1.1.87 > GO:pyridine N-methyltransferase activity ; GO:0030760
EC:2.1.1.88 > GO:8-hydroxyquercitin 8-O-methyltransferase activity ; GO:0030761
EC:2.1.1.89 > GO:tetrahydrocolumbamine 2-O-methyltransferase activity ; GO:0030762
EC:2.1.1.9 > GO:thiol S-methyltransferase activity ; GO:0018708
EC:2.1.1.90 > GO:methanol-5-hydroxybenzimidazolylcobamide Co-methyltransferase activity ; GO:0047152
EC:2.1.1.91 > GO:isobutyraldoxime O-methyltransferase activity ; GO:0030763
EC:2.1.1.92 > GO:bergaptol O-methyltransferase activity ; GO:0030764
EC:2.1.1.93 > GO:xanthotoxol O-methyltransferase activity ; GO:0030765
EC:2.1.1.94 > GO:11-O-demethyl-17-O-deacetylvindoline O-methyltransferase activity ; GO:0030766
EC:2.1.1.95 > GO:tocopherol O-methyltransferase activity ; GO:0050342
EC:2.1.1.96 > GO:thioether S-methyltransferase activity ; GO:0004790
EC:2.1.1.97 > GO:3-hydroxyanthranilate 4-C-methyltransferase activity ; GO:0030767
EC:2.1.1.98 > GO:diphthine synthase activity ; GO:0004164
EC:2.1.1.99 > GO:16-methoxy-2,3-dihydro-3-hydroxytabersonine N-methyltransferase activity ; GO:0030768
EC:2.1.2 > GO:hydroxymethyl-, formyl- and related transferase activity ; GO:0016742
EC:2.1.2.1 > GO:glycine hydroxymethyltransferase activity ; GO:0004372
EC:2.1.2.10 > GO:aminomethyltransferase activity ; GO:0004047
EC:2.1.2.11 > GO:3-methyl-2-oxobutanoate hydroxymethyltransferase activity ; GO:0003864
EC:2.1.2.2 > GO:phosphoribosylglycinamide formyltransferase activity ; GO:0004644
